id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown of Concrete,Rhydem Stone,hip-hop,energetic,0.88,95,0.62,0.91,0.07
12,Moonlit Sonata,Clara Voss,classical,peaceful,0.18,56,0.72,0.24,0.97
13,Velvet After Dark,Sasha Bloom,r&b,romantic,0.58,84,0.79,0.74,0.42
14,Dusty Porch Swing,The Lonesome Crows,country,nostalgic,0.52,96,0.55,0.61,0.74
15,Iron Collapse,Vulcan Riff,metal,angry,0.97,178,0.23,0.55,0.03
16,Withered Letters,Emmeline Grey,folk,melancholic,0.30,74,0.34,0.43,0.88
17,Signal Peak,Aurorawave,electronic,euphoric,0.95,138,0.91,0.93,0.04
18,Fuego Libre,Celia Vega,latin,playful,0.84,100,0.87,0.90,0.12
